region,ownd,inc,sex,wlth,donr,RANGE_gifa,RANGE_gifdol,RANGE_gifl,RANGE_gifr,RANGE_hv,RANGE_incavg,RANGE_incmed,RANGE_kids,RANGE_lag,RANGE_low,RANGE_mdon,RANGE_npro,_WARN_,U_donr,b_donr,EM_SEGMENT,EM_EVENTPROBABILITY,EM_PROBABILITY,EM_CLASSIFICATION
ter5,1,2,1,8,,0.079840319,0.019487179,0.021909233,0.046511628,0.153262519,0.087912088,0.074204947,0.4,0.333333333,0.264367816,0.457142857,0.267080745,,0,18,18,0.000925165,0.999074835,0
ter3,1,2,0,1,,0.117479327,0.01025641,0.017214397,0.063953488,0.174506829,0.186813187,0.215547703,0.4,0.121212121,0.034482759,0.628571429,0.118012422,,0,18,18,0.001639264,0.998360736,0
ter1,1,4,0,3,,0.158967779,0.042051282,0.056338028,0.081395349,0.166919575,0.106227106,0.074204947,0.2,0.848484848,0.206896552,0.342857143,0.49689441,,0,16,16,0.016258021,0.983741979,0
ter4,1,3,0,7,,0.023381808,0.00974359,0.004694836,0.034883721,0.558421851,0.333333333,0.275618375,0.4,0.212121212,0,0.114285714,0.01242236,,0,15,15,0.031180529,0.968819471,0
ter2,1,4,0,0,,0.123752495,0.028205128,0.023474178,0.081395349,0.251896813,0.197802198,0.130742049,0.8,0.303030303,0.011494253,0.4,0.291925466,,0,17,17,0.004780966,0.995219034,0
ter2,1,3,0,8,,0.079840319,0.016410256,0.010954617,0.093023256,0.135053111,0.080586081,0.081272085,0.4,0.303030303,0.16091954,0.428571429,0.204968944,,0,11,11,0.430633984,0.569366016,0
ter5,1,2,0,9,,0.049044768,0.024102564,0.012519562,0.069767442,0.125948407,0.113553114,0.102473498,0.6,0.121212121,0.275862069,0.342857143,0.260869565,,0,18,18,0.002040703,0.997959297,0
ter2,0,5,0,1,,0.28457371,0.059487179,0.028169014,0.162790698,0.060698027,0.051282051,0.03180212,0.6,0.424242424,0.735632184,0.314285714,0.49068323,,0,20,20,1.95303E-05,0.99998047,0
ter4,1,6,0,8,,0.095095523,0.019487179,0.025039124,0.122093023,0.094081942,0.076923077,0.109540636,0.2,0.121212121,0.24137931,0.428571429,0.310559006,,0,14,14,0.11088952,0.88911048,0
ter1,0,5,1,9,,0.146849159,0.081025641,0.023474178,0.11627907,0.15477997,0.073260073,0.106007067,0.4,0.212121212,0.183908046,0.342857143,0.527950311,,0,16,16,0.013424368,0.986575632,0
ter2,1,1,1,8,,0.511263188,0.098974359,0.334898279,0.372093023,0.329286798,0.326007326,0.279151943,0.4,0.242424242,0.068965517,0.257142857,0.366459627,,0,13,13,0.163364965,0.836635035,0
ter2,1,2,1,0,,0.094810379,0.096923077,0.015649452,0.029069767,0.229135053,0.227106227,0.254416961,0,0.303030303,0.126436782,0.371428571,0.776397516,,1,10,10,0.669673115,0.669673115,1
ter5,1,4,0,8,,0.029084688,0.006153846,0.004694836,0.029069767,0.17754173,0.146520147,0.127208481,0.6,0.090909091,0.08045977,0.228571429,0.068322981,,0,15,15,0.035864883,0.964135117,0
ter5,1,5,0,4,,0.081836327,0.027179487,0.007824726,0.034883721,0.270106222,0.227106227,0.208480565,0.4,0.090909091,0.045977011,0.314285714,0.229813665,,0,15,15,0.027829222,0.972170778,0
ter5,1,3,1,4,,0.068434559,0.014871795,0.009389671,0.040697674,0.179059181,0.102564103,0.070671378,0.2,0.060606061,0.091954023,0.514285714,0.130434783,,0,14,14,0.063659958,0.936340042,0
ter2,1,1,0,8,,0.135300827,0.025128205,0.031298905,0.180232558,0.109256449,0.076923077,0.077738516,0.4,0.121212121,0.149425287,0.342857143,0.229813665,,0,14,14,0.062237156,0.937762844,0
ter1,1,6,1,9,,0.172084403,0.057435897,0.023474178,0.104651163,0.122913505,0.10989011,0.077738516,0.4,0.090909091,0.287356322,0.257142857,0.534161491,,0,14,14,0.110555247,0.889444753,0
ter5,1,2,1,8,,0.21471343,0.06,0.089201878,0.168604651,0.095599393,0.087912088,0.077738516,0.4,0.151515152,0.24137931,0.371428571,0.559006211,,0,16,16,0.008451727,0.991548273,0
ter4,0,4,0,9,,0.092101511,0.012820513,0.018779343,0.040697674,0.218512898,0.175824176,0.091872792,0,0.090909091,0.057471264,0.514285714,0.186335404,,0,14,14,0.058068451,0.941931549,0
ter4,1,2,0,9,,0.089677787,0.013846154,0.015649452,0.058139535,0.315629742,0.168498168,0.183745583,0.4,0.121212121,0.034482759,0.342857143,0.124223602,,0,16,16,0.020408436,0.979591564,0
ter4,0,4,0,5,,0.101653835,0.078461538,0.009389671,0.029069767,0.189681335,0.164835165,0.19434629,0.2,0.151515152,0.068965517,0.428571429,0.50931677,,0,16,16,0.009522245,0.990477755,0
ter5,1,4,1,8,,0.029797548,0.011282051,0.00312989,0.040697674,0.280728376,0.256410256,0.183745583,0.8,0.121212121,0.068965517,0.4,0.136645963,,0,15,15,0.047620711,0.952379289,0
ter5,1,1,0,8,,0.072284003,0.15025641,0.014084507,0.052325581,0.150227618,0.080586081,0.113074205,0.6,0.181818182,0.32183908,0.485714286,0.602484472,,0,19,19,0.000539153,0.999460847,0
ter5,0,4,1,8,,0.188907898,0.012307692,0.046948357,0.093023256,0.144157815,0.10989011,0.081272085,0.8,0.090909091,0.24137931,0.428571429,0.254658385,,0,20,20,2.32931E-05,0.999976707,0
ter2,1,3,0,8,,0.046193328,0.037948718,0,0,0.194233687,0.153846154,0.109540636,0.6,0.151515152,0.195402299,0.514285714,0.416149068,,0,12,12,0.256511195,0.743488805,0
ter5,1,4,1,9,,0.02780154,0.056410256,0.007824726,0.023255814,0.213960546,0.197802198,0.173144876,0,0.242424242,0.045977011,0.542857143,0.472049689,,1,3,3,0.980850919,0.980850919,1
ter2,1,1,1,8,,0.083547191,0.004102564,0.014084507,0.11627907,0.282245827,0.19047619,0.137809187,0.2,0.090909091,0.057471264,0.342857143,0.074534161,,1,11,11,0.516857922,0.516857922,1
ter4,1,2,1,6,,0.072996863,0.045641026,0.00312989,0.01744186,0.08952959,0.091575092,0.123674912,0.2,0.090909091,0.252873563,0.257142857,0.366459627,,0,12,12,0.357366207,0.642633793,0
ter1,1,5,0,7,,0.051040776,0.035384615,0.004694836,0.01744186,0.142640364,0.084249084,0.091872792,0,0.393939394,0.183908046,0.228571429,0.416149068,,1,7,7,0.901373266,0.901373266,1
ter1,1,4,1,9,,0.028799544,0.079487179,0.007824726,0.01744186,0.194233687,0.131868132,0.09540636,0,0.272727273,0.137931034,0.314285714,0.627329193,,1,2,2,0.990017327,0.990017327,1
ter1,1,1,0,8,,0.081978899,0.046153846,0.014084507,0.040697674,0.039453718,0.032967033,0.035335689,0.4,0.242424242,0.632183908,0.4,0.372670807,,0,18,18,0.00193262,0.99806738,0
ter4,1,2,0,0,,0.235101226,0.042564103,0.042253521,0.093023256,0.236722307,0.124542125,0.127208481,0.4,0.212121212,0.022988506,0.371428571,0.403726708,,0,18,18,0.001065071,0.998934929,0
ter3,1,7,1,1,,0.122469347,0.023589744,0.018779343,0.081395349,0.215477997,0.120879121,0.09540636,0.4,0.333333333,0.126436782,0.371428571,0.341614907,,0,19,19,0.000121677,0.999878323,0
ter3,1,1,0,3,,0.222840034,0.023076923,0.043818466,0.104651163,0.176024279,0.102564103,0.123674912,0.4,0.03030303,0.252873563,0.457142857,0.142857143,,0,19,19,0.000452654,0.999547346,0
ter5,1,3,1,9,,0.04776162,0.009230769,0.009389671,0.034883721,0.220030349,0.223443223,0.148409894,0.8,0.151515152,0.08045977,0.4,0.080745342,,0,17,17,0.00264383,0.99735617,0
ter3,1,4,0,5,,0.080838323,0.05025641,0.014084507,0.040697674,0.212443096,0.238095238,0.265017668,0.4,0.151515152,0.057471264,0.457142857,0.397515528,,0,12,12,0.272382443,0.727617557,0
ter2,1,7,1,8,,0.093527231,0.063589744,0.014084507,0.040697674,0.144157815,0.153846154,0.144876325,0.4,0.060606061,0.022988506,0.142857143,0.51552795,,0,12,12,0.356289503,0.643710497,0
ter5,0,3,0,9,,0.076703735,0.016410256,0.009389671,0.029069767,0.119878604,0.076923077,0.053003534,0.4,0.181818182,0.402298851,0.428571429,0.136645963,,0,20,20,3.61132E-05,0.999963887,0
ter4,1,5,1,8,,0.147134303,0.029230769,0.03599374,0.284883721,0.203338392,0.153846154,0.106007067,0,0.151515152,0.091954023,0.4,0.236024845,,1,7,7,0.900018447,0.900018447,1
ter3,0,3,1,8,,0.084117479,0.057435897,0.018779343,0.081395349,0.112291351,0.062271062,0.067137809,0.8,0.090909091,0.275862069,0.428571429,0.677018634,,0,20,20,2.11342E-05,0.999978866,0
ter3,1,4,1,2,,0.212859994,0.031794872,0.03599374,0.122093023,0.339908953,0.157509158,0.130742049,0,0.181818182,0.045977011,0.542857143,0.291925466,,0,12,12,0.38037936,0.61962064,0
ter3,1,4,1,8,,0.246221842,0.03025641,0.050078247,0.209302326,0.235204856,0.098901099,0.120141343,0,0.181818182,0.195402299,0.342857143,0.285714286,,1,5,5,0.952271063,0.952271063,1
ter4,1,2,1,9,,0.080838323,0.02974359,0.014084507,0.01744186,0.077389985,0.054945055,0.067137809,0.6,0.090909091,0.252873563,0.314285714,0.322981366,,0,17,17,0.002448238,0.997551762,0
ter1,1,6,0,9,,0.19689193,0.027179487,0.070422535,0.156976744,0.182094082,0.131868132,0.127208481,0.6,0.333333333,0.057471264,0.285714286,0.285714286,,0,15,15,0.041169707,0.958830293,0
ter5,1,1,1,8,,0.120188195,0.033333333,0.061032864,0.127906977,0.144157815,0.062271062,0.077738516,0.6,0.333333333,0.195402299,0.428571429,0.298136646,,0,20,20,6.38557E-05,0.999936144,0
ter5,1,3,1,3,,0.25249501,0.01025641,0.064162754,0.139534884,0.122913505,0.15018315,0.137809187,0,0.060606061,0.229885057,0.457142857,0.062111801,,0,14,14,0.104721037,0.895278963,0
ter5,0,1,0,6,,0.152409467,0.045128205,0.017214397,0.063953488,0.139605463,0.065934066,0.098939929,0.2,0.242424242,0.287356322,0.342857143,0.472049689,,0,20,20,0.000105763,0.999894237,0
ter3,1,4,1,8,,0.104790419,0.014871795,0.039123631,0.063953488,0.169954476,0.183150183,0.084805654,0.2,0.212121212,0.206896552,0.257142857,0.173913043,,0,11,11,0.497629151,0.502370849,0
ter2,1,6,1,9,,0.210578842,0.048717949,0.034428795,0.180232558,0.239757208,0.230769231,0.120141343,0.4,0.303030303,0.011494253,0.342857143,0.465838509,,1,10,10,0.612216137,0.612216137,1
ter1,1,1,1,8,,0.022668948,0.006666667,0.004694836,0.029069767,0.100151745,0.098901099,0.067137809,0.6,0.060606061,0.379310345,0.314285714,0.049689441,,0,18,18,0.002283978,0.997716022,0
ter5,1,3,0,9,,0.125891075,0.017435897,0.062597809,0.151162791,0.250379363,0.113553114,0.120141343,0.6,0.181818182,0.114942529,0.828571429,0.273291925,,0,18,18,0.001890568,0.998109432,0
ter5,1,6,1,3,,0.091246079,0.022564103,0.021909233,0.052325581,0.084977238,0.06959707,0.028268551,0.6,0.060606061,0.563218391,0.257142857,0.316770186,,0,20,20,0.000108199,0.999891801,0
ter3,1,4,0,9,,0.176218991,0.019487179,0.037558685,0.151162791,0.188163885,0.117216117,0.09540636,0.4,0.181818182,0.149425287,0.485714286,0.291925466,,0,13,13,0.171255953,0.828744047,0
ter2,0,3,1,8,,0.046478472,0.043076923,0.007824726,0.040697674,0.180576631,0.131868132,0.070671378,0.6,0.606060606,0.114942529,0.457142857,0.378881988,,0,20,20,0.000103022,0.999896978,0
ter1,1,4,1,8,,0.143142287,0.015897436,0.010954617,0.058139535,0.08801214,0.102564103,0.074204947,0.4,0.090909091,0.344827586,0.428571429,0.198757764,,1,10,10,0.686278075,0.686278075,1
ter3,1,4,1,9,,0.237382378,0.030769231,0.03599374,0.197674419,0.13353566,0.128205128,0.077738516,0.6,0.090909091,0.091954023,0.514285714,0.291925466,,0,14,14,0.077484524,0.922515476,0
ter2,1,7,1,8,,0.233532934,0.014358974,0.051643192,0.098837209,0.257966616,0.318681319,0.342756184,0.4,0.151515152,0.011494253,0.371428571,0.124223602,,0,11,11,0.432864127,0.567135873,0
ter3,1,2,1,9,,0.270031366,0.016410256,0.057902973,0.238372093,0.285280728,0.289377289,0.243816254,0.2,0.121212121,0,0.285714286,0.099378882,,0,13,13,0.165306736,0.834693264,0
ter4,1,4,1,8,,0.101511263,0.010769231,0.018779343,0.075581395,0.198786039,0.102564103,0.106007067,0.4,0.090909091,0.057471264,0.428571429,0.167701863,,0,11,11,0.464773528,0.535226472,0
ter5,1,7,0,7,,0.29526661,0.132820513,0.086071987,0.302325581,0.098634294,0.124542125,0.074204947,0,0.454545455,0.379310345,0.4,0.534161491,,1,9,9,0.728975771,0.728975771,1
ter1,1,5,1,8,,0.022526376,0.049230769,0.010954617,0.040697674,0.259484067,0.197802198,0.144876325,0.4,0.242424242,0,0.714285714,0.559006211,,0,13,13,0.196332572,0.803667428,0
ter1,1,4,0,7,,0.260621614,0.063076923,0.037558685,0.087209302,0.301972686,0.263736264,0.279151943,0.4,0.393939394,0,0.4,0.602484472,,1,8,8,0.808957476,0.808957476,1
ter5,1,5,1,9,,0.182064443,0.016410256,0.06885759,0.197674419,0.2215478,0.124542125,0.134275618,0.6,0.151515152,0.126436782,0.514285714,0.173913043,,0,17,17,0.007090472,0.992909528,0
ter3,0,4,0,9,,0.28528657,0.107179487,0.359937402,0.284883721,0.33383915,0.201465201,0.169611307,0.2,0.242424242,0.045977011,0.4,0.391304348,,0,16,16,0.011841873,0.988158127,0
ter4,1,3,1,9,,0.122469347,0.098461538,0.009389671,0.029069767,0.224582701,0.153846154,0.173144876,0.6,0.121212121,0.057471264,0.514285714,0.683229814,,0,15,15,0.028305714,0.971694286,0
ter1,1,3,0,2,,0.366695181,0.024615385,0.061032864,0.151162791,0.694992413,0.652014652,0.628975265,0.2,0.484848485,0,0.371428571,0.254658385,,0,14,14,0.062840203,0.937159797,0
ter3,1,2,1,8,,0.145851155,0.089230769,0.050078247,0.139534884,0.13353566,0.058608059,0.060070671,0,0.181818182,0.436781609,0.457142857,0.447204969,,0,11,11,0.431825617,0.568174383,0
ter1,1,4,1,9,,0.227972626,0.019487179,0.03599374,0.063953488,0.094081942,0.091575092,0.045936396,0.4,0.242424242,0.517241379,0.371428571,0.161490683,,0,12,12,0.272998353,0.727001647,0
ter1,1,5,1,8,,0.0534645,0.226666667,0.00312989,0.01744186,0.127465857,0.058608059,0.088339223,0.4,0.121212121,0.252873563,0.314285714,0.658385093,,0,11,11,0.407254189,0.592745811,0
ter4,1,6,0,8,,0.398631309,0.031794872,0.115805947,0.162790698,0.139605463,0.168498168,0.197879859,0,0.151515152,0.149425287,0.4,0.285714286,,1,10,10,0.6485,0.6485,1
ter1,1,5,0,8,,0.172369547,0.026153846,0.026604069,0.110465116,0.242792109,0.186813187,0.151943463,0.8,0.121212121,0.091954023,0.342857143,0.590062112,,0,13,13,0.128273665,0.871726335,0
ter3,1,2,1,4,,0.106643855,0.037435897,0.015649452,0.046511628,0.151745068,0.113553114,0.144876325,0.4,0.060606061,0.229885057,0.428571429,0.360248447,,0,18,18,0.001704567,0.998295433,0
ter5,1,1,1,8,,0.080410607,0.043589744,0.017214397,0.156976744,0.347496206,0.161172161,0.176678445,0,0.212121212,0.206896552,0.485714286,0.583850932,,0,13,13,0.127985924,0.872014076,0
ter4,1,6,1,5,,0.076133447,0.045128205,0.007824726,0.040697674,0.153262519,0.10989011,0.067137809,0,0.060606061,0.402298851,0.457142857,0.49068323,,0,12,12,0.256193376,0.743806624,0
ter1,1,5,1,3,,0.159252923,0.013846154,0.031298905,0.127906977,0.188163885,0.164835165,0.120141343,0.4,0.121212121,0.091954023,0.542857143,0.111801242,,0,17,17,0.006460072,0.993539928,0
ter2,0,5,1,5,,0.221556886,0.033846154,0.031298905,0.081395349,0.1107739,0.102564103,0.123674912,0,0.333333333,0.091954023,0.228571429,0.298136646,,1,10,10,0.700756793,0.700756793,1
ter3,0,4,0,7,,0.109780439,0.132307692,0.017214397,0.069767442,0.165402124,0.212454212,0.127208481,0.4,0.151515152,0.183908046,0.228571429,0.621118012,,0,16,16,0.013707568,0.986292432,0
ter2,0,2,0,8,,0.325634445,0.046666667,0.082942097,0.13372093,0.051593323,0.047619048,0.074204947,0.4,0.757575758,0.413793103,0.457142857,0.267080745,,0,19,19,0.000140268,0.999859732,0
ter3,1,4,1,8,,0.238665526,0.008205128,0.040688576,0.11627907,0.15477997,0.139194139,0.109540636,0.4,0.333333333,0.344827586,0.542857143,0.155279503,,0,15,15,0.027831416,0.972168584,0
ter1,0,3,1,2,,0.333903621,0.012307692,0.045383412,0.186046512,0.320182094,0.146520147,0.09540636,0.6,0.151515152,0.091954023,0.571428571,0.049689441,,0,20,20,1.46623E-05,0.999985338,0
ter2,1,7,0,0,,0.172084403,0.04974359,0.021909233,0.046511628,0.030349014,0.032967033,0.035335689,0.4,0.121212121,0.32183908,0.257142857,0.329192547,,0,17,17,0.004826987,0.995173013,0
ter1,1,5,1,8,,0.030082692,0.022051282,0.004694836,0.029069767,0.235204856,0.175824176,0.159010601,0,0.090909091,0.057471264,0.771428571,0.248447205,,1,3,3,0.975956624,0.975956624,1
ter5,0,6,0,3,,0.211006558,0.011794872,0.045383412,0.139534884,0.168437026,0.201465201,0.081272085,0.4,0.212121212,0.24137931,0.371428571,0.062111801,,0,20,20,8.76391E-06,0.999991236,0
ter5,1,3,0,7,,0.105360707,0.021538462,0.017214397,0.034883721,0.094081942,0.062271062,0.084805654,0.6,0.181818182,0.114942529,0.371428571,0.298136646,,0,17,17,0.007747426,0.992252574,0
ter2,0,1,1,9,,0.104647847,0.076410256,0.034428795,0.040697674,0.437025797,0.285714286,0.275618375,0.6,0.181818182,0.011494253,0.2,0.552795031,,0,19,19,0.000429442,0.999570558,0
ter1,1,2,1,3,,0.094240091,0.033333333,0.018779343,0.058139535,0.127465857,0.098901099,0.081272085,0,0.757575758,0.310344828,0.228571429,0.329192547,,0,16,16,0.020582749,0.979417251,0
ter5,1,6,1,9,,0.074992871,0.010769231,0.007824726,0.029069767,0.268588771,0.175824176,0.155477032,0.4,0.272727273,0.022988506,0.457142857,0.149068323,,0,16,16,0.017581705,0.982418295,0
ter2,1,2,1,8,,0.04063302,0.032307692,0.007824726,0.029069767,0.163884674,0.142857143,0.088339223,0.4,0.060606061,0.344827586,0.428571429,0.254658385,,0,11,11,0.39927298,0.60072702,0
ter4,1,4,0,8,,0.020530368,0.007692308,0.00312989,0.011627907,0.162367223,0.131868132,0.127208481,0.8,0.060606061,0.137931034,0.828571429,0.062111801,,0,18,18,0.001448244,0.998551756,0
ter3,1,6,1,8,,0.089820359,0.012820513,0.010954617,0.040697674,0.139605463,0.073260073,0.106007067,0.8,0.181818182,0.287356322,0.257142857,0.111801242,,0,18,18,0.000944162,0.999055838,0
ter1,1,1,1,5,,0.134445395,0.018461538,0.026604069,0.063953488,0.380880121,0.326007326,0.342756184,0.4,0.090909091,0,0.028571429,0.142857143,,0,15,15,0.049328561,0.950671439,0
ter2,0,5,0,2,,0.047476476,0.033333333,0.004694836,0.040697674,0.078907436,0.073260073,0.106007067,0,0.151515152,0.195402299,0.314285714,0.391304348,,0,14,14,0.059754192,0.940245808,0
ter1,0,3,1,8,,0.392785857,0.028205128,0.06885759,0.26744186,0.183611533,0.113553114,0.088339223,0,0.272727273,0.206896552,0.457142857,0.341614907,,0,15,15,0.035239488,0.964760512,0
ter5,1,4,1,2,,0.186484175,0.102051282,0.031298905,0.104651163,0.17754173,0.146520147,0.067137809,0.6,0.272727273,0.24137931,0.314285714,0.850931677,,0,18,18,0.002134718,0.997865282,0
ter5,1,3,0,9,,0.054747648,0.029230769,0.015649452,0.034883721,0.051593323,0.025641026,0.007067138,0,0.03030303,0.712643678,0.257142857,0.223602484,,1,11,11,0.505873063,0.505873063,1
ter4,1,4,0,9,,0.097946963,0.027692308,0.015649452,0.063953488,0.210925645,0.208791209,0.16254417,0,0.060606061,0.114942529,0.371428571,0.329192547,,1,2,2,0.991041364,0.991041364,1
ter5,1,7,0,9,,0.045337896,0.015897436,0.010954617,0.040697674,0.092564492,0.076923077,0.109540636,0.4,0.303030303,0.448275862,0.142857143,0.093167702,,0,17,17,0.005500461,0.994499539,0
ter1,1,3,1,2,,0.05988024,0.054871795,0.009389671,0.023255814,0.062215478,0.084249084,0.06360424,0.6,0.181818182,0.356321839,0.285714286,0.465838509,,0,18,18,0.002065437,0.997934563,0
ter2,1,4,0,4,,0.071713715,0.016923077,0.006259781,0.023255814,0.2215478,0.153846154,0.127208481,0.6,0.363636364,0.218390805,0.371428571,0.242236025,,0,13,13,0.121535383,0.878464617,0
ter5,1,7,0,9,,0.241659538,0.124615385,0.06885759,0.279069767,0.294385432,0.212454212,0.240282686,0.4,0.212121212,0.034482759,0.314285714,0.658385093,,0,13,13,0.183137857,0.816862143,0
